final_equity,total_return_pct,cagr_pct,max_dd_pct,sharpe_ratio,total_trades,win_rate_pct,profit_factor,long_bias,low_vol_offset,low_vol_days,high_vol_offset,high_vol_days,low_vol_bars,high_vol_bars
106920.0000000534,-92.87199999999645,-15.686002090226769,108.5095994387427,0.49800103387598504,3414,31.165787932044527,0.9613213719645934,4,4,6,2,4,2707,1155
94890.00000005259,-93.6739999999965,-16.333649882828794,117.02321901040942,0.2807212684349335,3206,33.37492202121023,0.9556581623908867,3,4,10,2,3,2707,1155
87362.5000000149,-94.17583333333233,-16.77919399237696,116.07719960066431,0.43183484735604444,3134,33.47160178685386,0.9522703055023098,3,3,10,2,3,2707,1155
87075.00000003507,-94.19499999999765,-16.796913778604463,103.15327098078993,0.48915103811561134,3710,35.094339622641506,0.9746649360280835,5,4,9,1,4,2707,1155
83260.00000002985,-94.44933333333134,-17.037377077048998,117.03004003017932,0.32526975444988054,3240,33.91975308641975,0.9613659528383978,3,4,9,2,3,2707,1155
75122.50000002139,-94.99183333333191,-17.58676779115461,109.11738178069778,0.2942935676508035,3205,31.32605304212169,0.9364403656828831,3,3,5,2,4,2707,1155
73347.49999994898,-95.11016666667007,-17.713976342957306,116.25508462403937,0.27782437850624353,3346,31.380753138075313,0.968464613567967,3,4,5,2,3,2707,1155
73254.9999999933,-95.11633333333378,-17.72068419076056,117.03346021256091,0.40425652377590526,3373,30.773791876667655,0.9579083459755866,3,5,6,2,3,2707,1155
71987.49999998958,-95.20083333333403,-17.813406777301754,108.78142338734185,0.40944995078797464,3255,31.367127496159753,0.9539078411557291,4,3,6,2,4,2707,1155
68460.00000007433,-95.43599999999505,-18.07973373300301,109.19171451874242,-0.23404378739938578,3202,33.26046221111805,0.9539997058267347,5,3,8,2,4,2707,1155
68405.00000003356,-95.43966666666444,-18.083987021137016,106.35454072794921,0.0779939934914305,3243,31.20567375886525,0.9628468180095621,5,3,5,2,4,2707,1155
67407.49999983815,-95.50616666667744,-18.16168650561697,114.57902673911875,0.2726158757373271,3088,33.77590673575129,0.9683300348865165,5,3,10,2,3,2707,1155
67189.99999999125,-95.52066666666725,-18.178771246356074,116.95909637020662,0.2282077564655937,3141,34.60681311684177,0.9573599131499588,3,3,9,2,3,2707,1155
65387.49999993925,-95.64083333333738,-18.322383403094268,109.07082638511885,0.44163033571113736,3167,33.091253552257655,0.9563403198993436,5,4,10,2,4,2707,1155
64705.000000080996,-95.68633333332794,-18.37772920262688,108.90819705822936,0.11925404875191978,3193,33.10366426558096,0.9525171048040674,5,3,10,2,4,2707,1155
63639.9999999952,-95.75733333333366,-18.465193520548397,108.74433363702676,0.5070336549624663,3154,33.227647431832594,0.9438761818156585,4,5,10,2,4,2707,1155
61624.999999997766,-95.89166666666682,-18.634490401904568,108.15523776479151,0.4155031874936016,3116,32.6379974326059,0.9215272168095343,3,5,10,2,4,2707,1155
61475.000000028085,-95.90166666666478,-18.647299365621073,108.4905857048126,0.4435636004238826,3107,33.63373028644995,0.9358276954753812,3,4,9,2,4,2707,1155
60439.99999999706,-95.97066666666687,-18.7364864280967,108.75767524520651,0.38146449523201725,3236,32.35475896168109,0.9493682430049666,4,4,8,2,4,2707,1155
59874.99999998133,-96.00833333333458,-18.78577771157187,108.72158189891326,0.4327607673964039,3190,33.260188087774296,0.9468446077965685,4,4,10,2,4,2707,1155
57160.000000036,-96.18933333333092,-19.028879242496565,108.71846189921743,0.4044307657753481,3226,33.7879727216367,0.9442765412454005,4,3,8,2,4,2707,1155
55242.50000005119,-96.31716666666325,-19.207169463641847,114.5585892195921,-0.22180673889905547,3242,32.387415175817395,0.9745905898349215,5,3,6,2,3,2707,1155
54990.000000011794,-96.33399999999921,-19.231077034775733,116.81214114947535,0.29330831043198546,3353,31.822248732478375,0.9635686681621748,3,4,6,2,3,2707,1155
54617.4999999639,-96.35883333333574,-19.266534773489052,103.31367983255066,0.4784707817662107,3673,34.63109175061258,0.9664267756332519,5,4,10,1,4,2707,1155
53475.00000010083,-96.43499999999328,-19.37671617827187,103.11088202137604,0.4579779739028658,3715,34.21265141318977,0.9698905040586113,5,4,8,1,4,2707,1155
52955.000000001986,-96.46966666666653,-19.427595411873146,116.91018099490107,0.33191133949652973,3185,33.46938775510204,0.9520524232765856,3,5,10,2,3,2707,1155
52917.50000002861,-96.47216666666476,-19.43128263073668,116.9802765940268,0.3564519354873556,3237,32.86994130367624,0.9588442058498733,3,5,9,2,3,2707,1155
52334.99999996212,-96.51100000000254,-19.488873487801385,103.50480651536719,0.4602698511672049,3709,34.78026422216231,0.9715477628064995,5,5,9,1,4,2707,1155
51595.0000000007,-96.56033333333328,-19.562907058154945,106.55879906860275,0.43854098010832265,3352,31.026252983293556,0.9616219816924143,5,3,4,2,4,2707,1155
48845.00000002755,-96.74366666666484,-19.84702404115566,117.06782073492512,0.36027452678140404,3248,32.45073891625616,0.9561556761355952,3,4,8,2,3,2707,1155
48677.50000001036,-96.75483333333264,-19.864809140252902,107.71721432041615,-0.2555092490048708,3263,30.953110634385535,0.9537534911921086,4,3,5,2,4,2707,1155
47547.50000001797,-96.83016666666548,-19.986309826433214,102.27753015343039,0.4618575748835231,3759,32.26922053737697,0.9788568911215266,5,4,5,1,4,2707,1155
47032.499999963766,-96.86450000000242,-20.04258257939514,117.02276593311593,0.294164916776132,3261,31.892057651027294,0.9621196771173268,3,4,7,2,3,2707,1155
45369.999999981956,-96.97533333333455,-20.228257492555258,108.48739190281908,0.3853177099163693,3094,32.902391725921134,0.9242745409835114,3,4,10,2,4,2707,1155
44032.49999999476,-97.06450000000034,-20.382314098491673,116.83923894756936,-0.058302603809628546,3211,31.952662721893493,0.9583624612346735,3,3,6,2,3,2707,1155
43474.99999994083,-97.10166666667061,-20.447824566337935,103.35643102441435,0.45193043035812797,3599,35.009724923589886,0.9618939928354137,5,3,10,1,4,2707,1155
43190.000000031374,-97.12066666666456,-20.481618355965136,102.88065113587625,0.4663258999600604,3717,32.875975248856605,0.9748708054284192,5,4,6,1,4,2707,1155
43037.50000005674,-97.13083333332955,-20.49978676203906,103.19211688200036,0.45843109661786263,3750,32.800000000000004,0.9757949394260055,5,4,7,1,4,2707,1155
42997.5000000046,-97.1334999999997,-20.5045622144548,108.25359403406436,0.42589853542128225,3147,32.1258341277407,0.9292209413876932,3,4,8,2,4,2707,1155
42304.999999998516,-97.17966666666676,-20.58790277687812,111.9300314217292,0.16003927753197003,3013,30.633919681380682,0.8398733351170766,1,3,5,2,4,2707,1155
42159.999999986525,-97.18933333333423,-20.605514609830777,115.74754763468582,0.2988096590794279,3242,32.078963602714374,0.9698883978930217,4,3,6,2,3,2707,1155
41509.99999999229,-97.23266666666717,-20.685167058453224,107.22070597607627,0.00339516940375516,3291,30.963233059860222,0.9605132249905746,3,3,4,2,3,2707,1155
39814.99999997616,-97.34566666666825,-20.898497408322292,108.75229877309467,0.3583828584477239,3327,31.65013525698828,0.9585338565578007,4,4,7,2,4,2707,1155
38852.50000002832,-97.40983333333145,-21.023449337744083,103.09933431397094,0.45962007462766996,3666,33.278777959629025,0.9692185553799122,5,3,6,1,4,2707,1155
38792.500000010965,-97.4138333333326,-21.031334102427657,116.85404042044891,0.3503203597293904,3211,34.16381189660542,0.9526954365124378,3,3,8,2,3,2707,1155
38325.00000000426,-97.44499999999971,-21.093163232209356,109.14226477829433,0.09601970784957256,2902,27.119228118538942,0.7772402052921753,0,5,6,2,4,2707,1155
37622.50000006495,-97.491833333329,-21.187411804981636,112.49227378450759,0.28896950618056866,3329,31.00030039050766,0.9806643843301304,5,4,5,2,3,2707,1155
33742.500000006425,-97.75049999999956,-21.739640461355325,109.91781318423178,0.1348947725836019,3207,31.711880261927032,0.974692930887977,5,3,5,2,3,2707,1155
33072.49999998693,-97.79516666666753,-21.840973326106706,108.31423227377994,-0.2571343013557697,3262,30.226854690374005,0.9298950017543668,3,5,6,2,4,2707,1155
31837.4999999512,-97.87750000000327,-22.032896560824433,115.81382234901709,-0.2501101206658994,3243,32.31575701510946,0.9730657730347487,4,4,6,2,3,2707,1155
31809.999999984284,-97.87933333333439,-22.03724892333493,108.02689913295514,0.1520714155192659,3381,30.760130139012126,0.952291898238024,4,3,4,2,4,2707,1155
30344.99999999753,-97.97700000000017,-22.274354802832253,108.08646086063645,-0.23976083748080407,2932,29.877216916780352,0.8187929392104984,1,3,7,2,4,2707,1155
29202.499999905394,-98.05316666667296,-22.46681745735343,112.35296581799223,-0.2555092442988263,3210,33.177570093457945,0.972616507734799,4,4,9,2,5,2707,1155
27175.00000007906,-98.18833333332806,-22.826397334290725,114.65349962938285,0.1426810011522659,3193,33.63607892264328,0.9703037295688183,5,4,10,2,3,2707,1155
27030.000000127864,-98.19799999999148,-22.85306578750529,104.89536731696147,0.284477443567311,3465,35.295815295815295,0.9786769108141853,5,4,9,1,5,2707,1155
26667.500000014814,-98.22216666666567,-22.92032692937894,108.82197964509592,0.3117007911137115,3180,32.70440251572327,0.9494580485394682,4,3,7,2,4,2707,1155
26115.000000005653,-98.25899999999963,-23.024505599508128,109.10800920559683,-0.10501664846794506,3335,30.524737631184408,0.9592033278282013,5,5,6,2,4,2707,1155
26064.999999998443,-98.26233333333344,-23.034035010941455,110.82335962509585,0.28787607439690127,2621,24.837848149561236,0.7413699663012298,0,4,10,2,4,2707,1155
25755.000000015425,-98.28299999999898,-23.093501838030683,103.28607623492547,0.42374028306143996,3616,34.92809734513274,0.967067571806627,5,3,9,1,4,2707,1155
25747.499999988868,-98.28350000000074,-23.094948830665707,108.02364937789828,0.43876955666049167,3152,30.234771573604064,0.9020823611665453,2,4,6,2,4,2707,1155
25509.999999960506,-98.29933333333597,-23.140975398115813,103.39812145250673,0.4298553253808666,3688,33.920824295010846,0.9699709724915375,5,3,7,1,4,2707,1155
23977.499999999185,-98.40150000000007,-23.447979598873037,107.89160183830143,-0.13805999467121088,2941,30.295817749064945,0.8268054483550382,1,5,9,2,4,2707,1155
23852.50000000655,-98.4098333333329,-23.47382411286737,111.08269220188794,0.3465069126945962,2947,31.08245673566339,0.8296969375056265,1,4,9,2,4,2707,1155
23604.999999966618,-98.42633333333556,-23.52537218133395,103.36371156197495,0.43188577245712667,3640,34.97252747252747,0.9637242282284616,5,3,8,1,4,2707,1155
23037.500000037053,-98.4641666666642,-23.64550341293964,110.51874561276847,-0.10860909298936107,3315,30.165912518853695,0.9679799740595395,3,4,5,2,5,2707,1155
21552.49999999511,-98.56316666666699,-23.97346597651574,103.4593334135593,0.4379884772253976,3665,32.496589358799454,0.9647346903591152,5,5,8,1,4,2707,1155
21172.50000001429,-98.58849999999906,-24.060783832689804,112.33518602368213,0.27302588617674967,3283,31.434663417605847,0.97079719548801,4,5,7,2,5,2707,1155
20944.999999945852,-98.60366666667029,-24.113763841123426,103.59162054328068,0.43249331925984086,3621,34.35515051090859,0.9631202967645055,5,5,10,1,4,2707,1155
20827.49999998192,-98.6115000000012,-24.14133830349935,112.22459933120408,0.20569666665085126,3047,33.7052838857893,0.9530408139910046,3,3,9,2,5,2707,1155
20142.50000000096,-98.65716666666661,-24.305048459811907,110.14853511730414,-0.25530886990080226,2889,29.80269989615784,0.8101157321670157,1,5,10,2,4,2707,1155
19172.499999941385,-98.72183333333724,-24.546011678032322,112.35330980523439,0.36611320239255324,3180,32.13836477987421,0.9683961045602807,4,4,8,2,5,2707,1155
19137.500000007043,-98.7241666666662,-24.554917766263795,103.2711441775842,0.42011121054314066,3705,31.713900134952766,0.9673963340828323,5,5,6,1,4,2707,1155
19022.499999981148,-98.73183333333459,-24.584288283126753,112.32247867685592,-0.10403281468363221,3005,32.84525790349417,0.9450459729894243,3,3,10,2,5,2707,1155
18437.500000025146,-98.77083333333165,-24.73631556906486,110.33184432954886,0.30264925199230125,3121,30.503043896187123,0.9784003394563439,4,4,5,2,5,2707,1155
17490.000000005326,-98.83399999999965,-24.992393969735048,107.275484310206,0.5307191689312122,3305,30.862329803328294,0.9475575534592281,3,4,5,2,4,2707,1155
17445.00000009917,-98.8369999999934,-25.00487629753566,112.30288658273331,0.3410785259847237,3131,33.40785691472373,0.966071133059243,4,4,10,2,5,2707,1155
17415.00000000083,-98.83899999999993,-25.013214592885813,108.12227864165615,-0.22718977352811892,2900,27.137931034482758,0.7695807611937863,0,4,6,2,4,2707,1155
17200.00000000187,-98.85333333333321,-25.07336860582232,106.60601407447767,-0.2446342746480201,2549,25.578658297371522,0.7344013436483282,0,3,9,2,4,2707,1155
17092.499999992666,-98.8605000000005,-25.10370985183513,109.87605523909,0.25675966657288596,3017,30.427577063307922,0.9003758254310427,1,5,7,2,3,2707,1155
16694.999999918102,-98.88700000000547,-25.21747409566888,114.58236869396679,0.3115204095737664,3168,34.659090909090914,0.9750993617985798,5,4,9,2,3,2707,1155
16465.00000000783,-98.9023333333328,-25.28446259251398,116.94494844637768,0.3497353399794906,3262,32.03556100551809,0.9562664086842968,3,5,7,2,3,2707,1155
16110.000000049957,-98.92599999999666,-25.389595997132698,112.35816187030372,0.3763615405982709,3059,31.15397188623733,0.9700614375883839,4,3,5,2,5,2707,1155
15464.99999997762,-98.9690000000015,-25.58628383463597,117.4431432580692,0.47666099077854246,3053,33.901080904028824,0.937190386028133,2,4,9,2,3,2707,1155
15447.499999975524,-98.97016666666829,-25.591726548318526,108.87556814127244,0.4028391056368346,3257,31.225053730426772,0.9441310411813207,4,5,8,2,4,2707,1155
15272.499999953172,-98.98183333333645,-25.646473174154917,114.56720289249931,0.2844199225855708,3247,32.6763165999384,0.9729330118673343,5,5,7,2,3,2707,1155
14627.499999996842,-99.02483333333355,-25.853452378225693,116.86459459977105,0.39754014784615155,3249,31.763619575253927,0.9517150687330432,3,5,8,2,3,2707,1155
14597.499999999374,-99.02683333333337,-25.86328577208056,107.5782059088331,-0.2353146802130915,2761,30.20644693951467,0.799448093195511,1,3,10,2,4,2707,1155
14585.000000045402,-99.02766666666363,-25.867388599720076,112.33448328074071,-0.07807194409692525,3155,33.15372424722662,0.9689127499311341,4,3,9,2,5,2707,1155
14062.500000006112,-99.0624999999996,-26.041898379605943,105.66574240783125,0.20942762656499544,3439,32.71299796452457,0.9750048751052415,4,4,7,1,5,2707,1155
13392.500000032422,-99.10716666666451,-26.274769230142937,115.81703405377957,-0.14212069011806724,3194,34.126487163431435,0.9641142495178741,4,3,8,2,3,2707,1155
13307.50000000454,-99.11283333333303,-26.305087915770642,109.14702054509573,0.33738362575309067,3206,33.18777292576419,0.9607088328953725,5,5,9,2,4,2707,1155
13055.000000007227,-99.12966666666618,-26.39623258755883,107.85705820734255,-0.22784852486879986,2948,27.578018995929444,0.7757925608215371,0,3,4,2,4,2707,1155
12882.499999995372,-99.14116666666698,-26.459452700178343,108.14015775160696,0.15047921324816127,3173,30.91711314213678,0.9145056297319699,2,4,5,2,4,2707,1155
12634.99999998881,-99.15766666666741,-26.551556991563707,114.51997102678692,0.3836104202984341,3080,34.383116883116884,0.9723551842806754,5,3,9,2,3,2707,1155
12500.000000005646,-99.16666666666629,-26.6025094776149,106.77270856030306,0.03194019830428315,2963,27.40465744178198,0.7871317020530008,0,5,6,2,5,2707,1155
12255.000000004628,-99.1829999999997,-26.696307850890697,107.01059755316247,-0.2436352803358728,3090,31.00323624595469,0.9162584807158021,1,4,5,2,3,2707,1155
12227.50000000406,-99.18483333333306,-26.706945504918345,115.04984155936928,0.36056676780413455,3316,31.48371531966224,0.9763140050799614,4,4,5,2,3,2707,1155
12162.50000002129,-99.18916666666526,-26.732178281915488,112.21514996572593,-0.11157051094809196,3078,32.84600389863548,0.9492598515345864,3,4,10,2,5,2707,1155
12137.500000007,-99.19083333333288,-26.741916796449406,108.48539524414622,0.14784717441114184,3215,31.446345256609643,0.9293447872628535,3,5,7,2,4,2707,1155
12135.000000047628,-99.19099999999682,-26.742891679606352,112.3044406855757,0.03859514774835702,2942,34.36437797416723,0.9640315079449342,4,3,8,2,5,2707,1155
12087.500000029526,-99.1941666666647,-26.761450243619358,105.1422641213656,0.3378825404735219,3201,31.146516713527024,0.9322119645964265,3,3,4,2,4,2707,1155
12007.500000001251,-99.19949999999992,-26.79286152489042,107.48837621576315,-0.3957897071994908,3060,28.986928104575167,0.8285225647804354,1,5,7,2,4,2707,1155
11827.499999994674,-99.21150000000036,-26.864258791271634,112.3679847133171,0.31359697049553414,3127,32.555164694595454,0.9627352118654773,4,3,10,2,5,2707,1155
11785.000000018044,-99.21433333333212,-26.881264745667323,102.90186368451984,0.40453943080299326,3610,32.880886426592795,0.9686977629171958,5,3,5,1,4,2707,1155
11284.999999971042,-99.2476666666686,-27.085761060769407,108.89311589155892,0.6250021036207171,3161,33.976589686807976,0.9627324954880238,5,4,9,2,4,2707,1155
10915.000000001935,-99.27233333333321,-27.242619599072405,112.2508907641367,0.11131110516260603,3071,30.413546076196678,0.9547702852662657,3,3,6,2,5,2707,1155
10877.49999999495,-99.27483333333367,-27.25879398609069,107.84650574547925,0.09690028921941649,2926,31.852358168147642,0.8728810172989137,2,5,10,2,4,2707,1155
10682.500000009677,-99.28783333333269,-27.34375092771142,107.97720728590346,0.012637873088868183,2947,31.828978622327792,0.8834724097912539,2,3,7,2,4,2707,1155
10584.999999996639,-99.29433333333355,-27.386774848519046,106.29825734090555,-0.22753008299843883,2832,29.8728813559322,0.8037625170236261,1,4,10,2,4,2707,1155
10507.49999999028,-99.29950000000065,-27.42123860834057,107.98228341037965,-0.05455860508052009,3019,30.639284531301758,0.8800045346041173,2,5,8,2,4,2707,1155
10407.500000003143,-99.30616666666646,-27.46606102487067,111.58961911926248,0.5359721445752407,2836,29.65444287729196,0.8096374479724484,1,5,10,2,6,2707,1155
10340.0000000016,-99.31066666666656,-27.49654446183395,106.08923487087407,-0.26933541410681877,2584,25.46439628482972,0.7311148089718279,0,3,8,2,4,2707,1155
9947.500000000757,-99.33683333333329,-27.677576602187457,105.991817697767,0.01654619743968522,2610,26.47509578544061,0.7376678910346189,0,4,9,2,4,2707,1155
9802.500000008076,-99.34649999999947,-27.746149123535226,108.1808361378001,0.10625420829833876,2995,32.08681135225376,0.8896760007897377,2,5,9,2,4,2707,1155
9555.000000005457,-99.36299999999964,-27.865417779106416,106.2033184092702,-0.31710590579234577,2726,26.082171680117387,0.7438850147902145,0,5,9,2,4,2707,1155
9162.499999971347,-99.38916666666857,-28.060620172776396,114.6680462032051,0.44292014748220715,3112,33.9974293059126,0.9736240922832923,5,5,9,2,3,2707,1155
9037.500000000524,-99.39749999999997,-28.12443092631772,111.87712501192195,0.2163522426360323,2834,31.439661256175018,0.818592948803074,1,3,9,2,6,2707,1155
8974.999999986103,-99.4016666666676,-28.156646519219343,115.85583149730789,0.1838958982317679,3157,33.44947735191638,0.9665593841384335,4,4,8,2,3,2707,1155
8962.49999998432,-99.40250000000104,-28.163114811356582,112.35813481973965,-0.21062061184214986,3159,31.14909781576448,0.9551341157685928,3,5,7,2,5,2707,1155
8949.999999994558,-99.40333333333369,-28.169591547532647,107.67184820069546,-0.1444938604901921,3006,28.908848968729206,0.7845953698569669,0,4,5,2,4,2707,1155
8900.000000053784,-99.40666666666309,-28.19558339088396,105.15468486722695,0.23300240751231,3277,34.818431492218494,0.96913577728051,5,3,10,1,5,2707,1155
8892.500000002867,-99.40716666666648,-28.199493942850673,112.30210085231309,-0.32361086577882786,2982,29.812206572769952,0.8446832668097367,1,4,7,2,6,2707,1155
8615.000000013606,-99.42566666666576,-28.34639755745919,107.20007945717174,0.24730626638393594,3140,31.11464968152866,0.9691174600246005,4,3,4,2,3,2707,1155
8157.500000005413,-99.4561666666663,-28.59854132347769,112.74118236663749,-0.31788225096650996,2880,30.486111111111114,0.9034255751097375,2,4,7,2,7,2707,1155
7945.000000065615,-99.47033333332895,-28.720188523678324,105.64167160326099,0.2001140581480461,3307,35.500453583308136,0.9718929318724798,4,4,9,1,5,2707,1155
7844.999999999054,-99.47700000000006,-28.778490994169182,112.2925737159389,-0.11883909509318483,3080,32.5974025974026,0.946159045779918,3,5,10,2,5,2707,1155
7760.000000005341,-99.4826666666663,-28.828597280673684,107.9217473951965,0.36520833051299467,2930,33.34470989761092,0.8920490756927423,2,4,9,2,4,2707,1155
7705.000000127824,-99.48633333332482,-28.861293290617994,103.5953871518715,0.29838376025114266,3535,32.02263083451202,0.9834186919954426,5,4,5,1,5,2707,1155
7570.000000002721,-99.49533333333315,-28.9424821225175,109.52148371619836,-0.4117747605374077,2933,26.968973747016705,0.7565563765666559,0,5,6,2,6,2707,1155
7562.500000026237,-99.49583333333159,-28.947032224755688,112.1880466690077,-0.4319629382982911,3227,29.903935543848775,0.9531228417124995,3,5,6,2,5,2707,1155
7447.499999955631,-99.50350000000296,-29.017334169723096,109.09939433382006,-0.13811637358827653,3313,32.29701177180802,0.9600287931783593,5,5,7,2,4,2707,1155
