date,action,qty,price,value,commission,pnl
2025-07-10 07:15:00,BUY,1,6414.75,320737.5,2.5,-2.5
2025-07-11 07:15:00,BUY,4,6396.0,1279200.0,10.0,-10.0
2025-07-14 07:15:00,BUY,6,6395.25,1918575.0,15.0,-15.0
2025-07-15 07:15:00,SELL,3,6439.0,965850.0,7.5,6248.181818181756
2025-07-16 07:15:00,SELL,5,6395.0,1598750.0,12.5,-586.3636363637397
2025-07-17 07:15:00,BUY,4,6411.25,1282250.0,10.0,-10.0
2025-07-21 07:15:00,SELL,1,6459.0,322950.0,2.5,2684.025974025926
2025-07-22 07:15:00,BUY,4,6459.25,1291850.0,10.0,-10.0
2025-07-23 07:15:00,BUY,8,6482.25,2592900.0,20.0,-20.0
2025-07-24 07:15:00,SELL,1,6513.75,325687.5,2.5,3111.0642135641774
2025-07-25 07:15:00,BUY,2,6520.0,652000.0,5.0,-5.0
2025-07-29 07:15:00,SELL,3,6548.25,982237.5,7.5,13426.277625882749
2025-07-30 07:15:00,BUY,1,6522.0,326100.0,2.5,-2.5
2025-07-31 07:15:00,BUY,3,6567.0,985050.0,7.5,-7.5
2025-08-01 07:15:00,SELL,5,6427.5,1606875.0,12.5,-12663.296498822956
2025-08-04 07:15:00,SELL,1,6412.25,320612.5,2.5,-3295.159299764591
2025-08-05 07:15:00,BUY,3,6479.0,971850.0,7.5,-7.5
2025-08-06 07:15:00,SELL,2,6444.0,644400.0,5.0,-3431.144729024054
2025-08-07 07:15:00,BUY,2,6520.75,652075.0,5.0,-5.0
2025-08-08 07:15:00,SELL,6,6491.25,1947375.0,15.0,2381.969834936135
2025-08-11 07:15:00,BUY,3,6534.0,980100.0,7.5,-7.5
2025-08-13 07:15:00,SELL,3,6595.25,989287.5,7.5,15160.059578010605
2025-08-14 07:15:00,SELL,8,6601.0,2640400.0,20.0,42726.82554136161
2025-08-15 07:15:00,BUY,10,6609.0,3304500.0,25.0,-25.0
2025-08-18 07:15:00,SELL,1,6578.25,328912.5,2.5,-214.6108016915059
2025-08-19 07:15:00,SELL,3,6580.0,987000.0,7.5,-381.33240507451774
2025-08-20 07:15:00,BUY,1,6537.25,326862.5,2.5,-2.5
2025-08-21 07:15:00,BUY,4,6501.0,1300200.0,10.0,-10.0
2025-08-25 07:15:00,SELL,2,6575.0,657500.0,5.0,1897.286112110869
2025-08-26 07:15:00,BUY,1,6560.75,328037.5,2.5,-2.5
2025-08-27 07:15:00,BUY,7,6597.75,2309212.5,17.5,-17.5
2025-08-28 07:15:00,SELL,3,6606.0,990900.0,7.5,5267.057500899755
2025-08-29 07:15:00,BUY,2,6607.75,660775.0,5.0,-5.0
2025-09-01 07:15:00,SELL,3,6585.75,987862.5,7.5,1646.7093429102351
2025-09-02 07:15:00,SELL,1,6521.0,326050.0,2.5,-2688.5968856965883
2025-09-03 07:15:00,SELL,5,6564.75,1641187.5,12.5,-2505.4844284829414
2025-09-04 07:15:00,BUY,2,6578.0,657800.0,5.0,-5.0
2025-09-05 07:15:00,SELL,8,6628.0,2651200.0,20.0,21072.68742868917
2025-09-09 07:15:00,SELL,1,6627.0,331350.0,2.5,2584.085928586146
2025-09-10 07:15:00,SELL,3,6655.25,998287.5,7.5,11989.757785758438
2025-09-11 07:15:00,BUY,2,6668.75,666875.0,5.0,-5.0
2025-09-12 07:15:00,BUY,3,6704.0,1005600.0,7.5,-7.5
2025-09-15 07:15:00,BUY,2,6721.0,672100.0,5.0,-5.0
2025-09-16 07:15:00,BUY,5,6745.5,1686375.0,12.5,-12.5
2025-09-17 07:15:00,BUY,6,6724.0,2017200.0,15.0,-15.0
2025-09-19 07:15:00,SELL,2,6763.0,676300.0,5.0,4278.333333333303
2025-09-22 07:15:00,BUY,3,6757.75,1013662.5,7.5,-7.5
2025-09-23 07:15:00,BUY,2,6809.25,680925.0,5.0,-5.0
2025-09-24 07:15:00,BUY,1,6784.0,339200.0,2.5,-2.5
2025-09-25 07:15:00,SELL,3,6727.25,1009087.5,7.5,-1363.750000000182
2025-09-26 07:15:00,BUY,1,6728.5,336425.0,2.5,-2.5
2025-09-29 07:15:00,SELL,3,6787.25,1018087.5,7.5,7694.6874999998545
2025-09-30 07:15:00,SELL,2,6762.5,676250.0,5.0,2654.7916666665697
2025-10-01 07:15:00,SELL,1,6768.5,338425.0,2.5,1627.3958333332848
2025-10-02 07:15:00,BUY,1,6838.5,341925.0,2.5,-2.5
2025-10-03 07:15:00,BUY,6,6833.25,2049975.0,15.0,-15.0
2025-10-06 07:15:00,BUY,1,6849.0,342450.0,2.5,-2.5
2025-10-07 07:15:00,SELL,2,6850.5,685050.0,5.0,7819.412878787825
2025-10-08 07:15:00,SELL,4,6828.75,1365750.0,10.0,11288.82575757565
2025-10-09 07:15:00,SELL,3,6862.5,1029375.0,7.5,13529.119318181738
2025-10-10 07:15:00,SELL,4,6846.5,1369300.0,10.0,14838.82575757565
2025-10-13 07:15:00,BUY,5,6727.0,1681750.0,12.5,-12.5
2025-10-14 07:15:00,BUY,3,6695.25,1004287.5,7.5,-7.5
2025-10-16 07:15:00,BUY,2,6795.25,679525.0,5.0,-5.0
2025-10-17 07:15:00,SELL,4,6723.5,1344700.0,10.0,-5431.608851674864
2025-10-20 07:15:00,SELL,5,6782.0,1695500.0,12.5,7835.48893540642
2025-10-21 07:15:00,BUY,1,6836.25,341812.5,2.5,-2.5
2025-10-22 07:15:00,BUY,7,6836.0,2392600.0,17.5,-17.5
2025-10-24 07:15:00,BUY,3,6855.25,1028287.5,7.5,-7.5
2025-10-27 07:15:00,BUY,3,6942.5,1041375.0,7.5,-7.5
2025-10-28 07:15:00,BUY,1,6978.5,348925.0,2.5,-2.5
2025-10-29 07:15:00,SELL,7,7001.5,2450525.0,17.5,62582.37380382772
2025-10-30 07:15:00,SELL,3,6961.0,1044150.0,7.5,20746.017344497595
2025-10-31 07:15:00,BUY,2,6976.5,697650.0,5.0,-5.0
2025-11-03 07:15:00,SELL,3,6948.75,1042312.5,7.5,16193.397656909683
2025-11-04 07:15:00,SELL,14,6865.75,4806025.0,35.0,17469.18906557852
2025-11-05 07:15:00,BUY,4,6860.75,1372150.0,10.0,-10.0
2025-11-06 07:15:00,BUY,1,6901.25,345062.5,2.5,-2.5
2025-11-07 07:15:00,SELL,9,6776.25,3049312.5,22.5,-23172.50000000009
2025-11-10 07:15:00,BUY,13,6877.25,4470212.5,32.5,-20232.5
2025-11-11 07:15:00,BUY,13,6897.75,4483537.5,32.5,-32.5
2025-11-12 07:15:00,SELL,9,6954.75,3129637.5,22.5,29401.363636363785
2025-11-13 07:15:00,BUY,4,6922.5,1384500.0,10.0,-10.0
2025-11-14 07:15:00,SELL,2,6746.5,674650.0,5.0,-15071.042780748649
2025-11-17 07:15:00,SELL,11,6811.0,3746050.0,27.5,-47415.73529411756
